"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/09/2018","Jo-Ann Stores","JOANN STORES #2203 FOLSOM US","35.51","debit","Shopping","Citi Dividend Platinum Select Visa Card","",""
"2/09/2018","Home Depot","THE HOME DEPOT #6675 FOLSOM US","58.07","debit","Home Improvement","Citi Dividend Platinum Select Visa Card","",""
"2/09/2018","AAA","AAA*NCNU MBRSHIP SVCS PLACERVILLE US","332.00","debit","Auto Insurance","Citi Dividend Platinum Select Visa Card","",""
"2/09/2018","Amazon","Amazon Digital Svcs amzn.com/billUS","4.99","debit","Shopping","Citi Dividend Platinum Select Visa Card","",""
"2/09/2018","Nvs Pmd","ACH CREDIT NVS PMD PAYMENT ON 02/09","320.00","credit","appraisal income","Adv Tiered Interest Chkg","",""
"2/08/2018","Amazon","Amazon Digital Svcs Seattle US","79.99","debit","Shopping","Citi Dividend Platinum Select Visa Card","",""
"2/07/2018","Carl's Jr","CARL'S JR 1101060 CAMERON PARK US","12.52","debit","Business Meals","Citi Dividend Platinum Select Visa Card","",""
"2/08/2018","Bkofamerica ATM Deposit","BKOFAMERICA ATM 02/08 #000005315 DEPOSIT CAMERON PARK CAMERON PARK CA","1200.00","credit","appraisal income","Adv Tiered Interest Chkg","",""
"2/08/2018","Murcor Trade Pay","MURCOR INC. DES:TRADE PAY ID:00-0057832 INDN:Gary F. Hulbert CO ID:XXXXX72376...","700.00","credit","appraisal income","Adv Tiered Interest Chkg","",""
"2/07/2018","Ace Hardware","GOLD COUNTRY ACE HARDWAR CAMERON PARK CA","15.92","debit","Home Improvement","Citi Dividend Platinum Select Visa Card","",""
"2/07/2018","AT&T","ATT DES:Payment ID:XXXXX8011EPAYW INDN:sherry l hulbert CO ID:XXXXX31004 PPD","86.98","debit","bus phone/internet","Adv Tiered Interest Chkg","",""
"2/06/2018","Pedrick Produce","PEDRICK PRODUCE DIXON CA","31.77","debit","Business Meals","Citi Dividend Platinum Select Visa Card","",""
"2/06/2018","Murcor Des Trade","MURCOR INC. DES:TRADE PAY ID:00-0057832 INDN:Gary F. Hulbert CO ID:XXXXX72376...","200.00","credit","appraisal income","Adv Tiered Interest Chkg","",""
"2/06/2018","Arco Arco Cameron","ARCO#82405 02/06 #000707189 PURCHASE ARCO#82405 CAMERON PARK CA","28.23","debit","Gas & Fuel","Adv Tiered Interest Chkg","",""
"2/05/2018","Kaiser Permanente","KAISER CPP PHARM 256 8882186245 CA","12.56","debit","Health Insurance","Citi Dividend Platinum Select Visa Card","",""
"2/05/2018","Carl's Jr","CARL'S JR 7058 CAMERON PARK CA","11.75","debit","Business Meals","Citi Dividend Platinum Select Visa Card","",""
"2/05/2018","The Paint Spot & Supply","THE PAINT SPOT 2 SHINGLE SPRINCA","16.96","debit","Home Improvement","Citi Dividend Platinum Select Visa Card","",""
"2/05/2018","The Paint Spot & Supply","THE PAINT SPOT 2 SHINGLE SPRINCA","29.73","debit","Home Improvement","Citi Dividend Platinum Select Visa Card","",""
"2/05/2018","Arco Arco Placerville","ARCO#83361 02/03 #000210415 PURCHASE ARCO#83361 PLACERVILLE CA","36.68","debit","Gas & Fuel","Adv Tiered Interest Chkg","",""
"2/05/2018","Murcor Des Trade","MURCOR INC. DES:TRADE PAY ID:00-0057832 INDN:Gary F. Hulbert CO ID:XXXXX72376...","642.00","credit","appraisal income","Adv Tiered Interest Chkg","",""
"2/05/2018","Nvs Pmd Des","NVS PMD DES:PAYMENT ID:805445 INDN:GaryFHulbert.Appraisal CO ID:XXXXX32275 CCD","700.00","credit","appraisal income","Adv Tiered Interest Chkg","",""
"2/04/2018","Amazon Video","Amazon Video On Demand AMZN.COM/billWA","3.99","debit","Movies & DVDs","Citi Dividend Platinum Select Visa Card","",""
"2/03/2018","Home Depot","THE HOME DEPOT #1085 PLACERVILLE CA","20.03","debit","Home Improvement","Citi Dividend Platinum Select Visa Card","",""
"2/02/2018","Ameritas Life In","Ameritas Life In DES:XI24DD ID:XI240000140740 INDN:HULBERT GARY F...","221.00","debit","Life Insurance","Adv Tiered Interest Chkg","",""
"2/02/2018","Bkofamerica ATM Deposit","BKOFAMERICA ATM 02/02 #000002483 DEPOSIT CAMERON PARK CAMERON PARK CA","450.00","credit","appraisal income","Adv Tiered Interest Chkg","",""
"2/02/2018","Subway","SUBWAY 00034744 CAMERON PARK CA","17.99","debit","Business Meals","Citi Dividend Platinum Select Visa Card","",""
"2/02/2018","Kaiser Permanente","KAISER PHARM 281 FOLSOM CA","8.69","debit","Health Insurance","Citi Dividend Platinum Select Visa Card","",""
"2/02/2018","Safeway","SAFEWAY #1618 CAMERON PARK CA","39.20","debit","Groceries","Citi Dividend Platinum Select Visa Card","",""
"2/01/2018","Viper Pest Control","Viper Pest Control Bill Payment","80.00","debit","Home Improvement","Adv Tiered Interest Chkg","",""
"2/01/2018","Svcsapps Hulbe Cc","GOOGLE *SVCSAPPS_hulbe cc@google.comCA","20.00","debit","Gmail Bill","Citi Dividend Platinum Select Visa Card","",""
"1/31/2018","Bel Air","BEL AIR #515 CAMERON PARK CA","18.15","debit","Groceries","Citi Dividend Platinum Select Visa Card","",""
"1/30/2018","Jack in the Box","JACK IN THE BOX 3442 FOLSOM CA","13.66","debit","Business Meals","Citi Dividend Platinum Select Visa Card","",""
